cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,pred_class,pred_nonbull,pred_bull
Ugz1mfI_Vww3QGJp3cp4AaABAg.9CAFr5QMckU9CAPG34o4aJ,Menjijikan,2 tahun yang lalu,Nur Hayati,UC0M-qR3YC7jTcdNOOAiQxJQ,0,https://yt3.ggpht.com/ytc/AGIKgqOpCtnFxmBNV_BLGElHM2Yo8sk-PNFMa3wftQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176839.693674,Non-Bull,39.55%,60.45%
Ugy4dYB5RMFVtlVdDAF4AaABAg.9CDQHucdqsB9CFInf9YiwK,Bener,2 tahun yang lalu,Sutrisno Sutrisno,UCArejKtnmj8hHLlbhKZRLZQ,0,https://yt3.ggpht.com/ytc/AGIKgqM3MW3_TH3U05RpVGLWCFG0eaNX60MvL4dM5A=s176-c-k-c0x00ffffff-no-rj,False,True,1619176840.071275,Non-Bull,39.55%,60.45%
Ugy4dYB5RMFVtlVdDAF4AaABAg.9CDQHucdqsB9CIoBv2vKf4,merasa suci saja aslinya ya sama munafik juga...,2 tahun yang lalu,Ojhonk hore hore,UChBE8XdRMRhmyJMtCKml0Kw,2,https://yt3.ggpht.com/ytc/AGIKgqMe6cOxwTFan2ySatZ8yjVDuAJQOfDq-Wu2mPwmCQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176840.078591,Non-Bull,39.55%,60.45%
Ugy4dYB5RMFVtlVdDAF4AaABAg.9CDQHucdqsB9CeLhFuPtas,Nah ini komen yg betul nih! Maklum netizen + 62 msh bnyk yg munafik tp kepo,2 tahun yang lalu,Emma Kosasih,UCfJv3elh0oSGz7Fz1m4itmA,0,https://yt3.ggpht.com/5iCe6yTzeo3D3JWBSjQV5lK4RqE9iW_A82EQ6yKX07L5NXyk5Pl0D9Dfto9upx6qtsue7Ifgcg=s176-c-k-c0x00ffffff-no-rj,False,True,1619176840.078591,Non-Bull,39.55%,60.45%
Ugy4dYB5RMFVtlVdDAF4AaABAg.9CDQHucdqsB9ElCtBEQZUT,Kepeleset nnti abis aib ya di bongkar di media,2 tahun yang lalu,Faridah Indonesia,UCSQjEFUa8Cu5N2qmq7K2r6w,0,https://yt3.ggpht.com/ytc/AGIKgqM0wV_BNuuC-kB4OaSKYenGWxfplCnJvofWzg=s176-c-k-c0x00ffffff-no-rj,False,True,1619176840.078591,Non-Bull,39.55%,60.45%
UgxTXzF37UKMD1q7cqZ4AaABAg.9C0-_kp49sQ9CAAdSKhtuo,Keren apanya?!🤣🤣🤣,2 tahun yang lalu,Irwan Jayadi,UCFELZ68_PLvd5H7CS-kP-iA,0,https://yt3.ggpht.com/ytc/AGIKgqMYZMf95H06clJA7PP4zeJdLneAJJ15PobeVw=s176-c-k-c0x00ffffff-no-rj,False,True,1619176840.443426,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg,Jadi tau nama gofar karena nikita..☝️,2 tahun yang lalu,bintang Bersinar,UCT_RGDW5XgKRROYo8VoajpA,5,https://yt3.ggpht.com/ytc/AGIKgqMciMzhY1iX8rIRLXmyg0V-aTTJqEdKUumwky8o9g=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.936615,Non-Bull,39.55%,60.45%
UgyBWNHhXi-jGYhmOX54AaABAg,"sok-sok an ngurusin hidup orang,hidup anda sendiri udah pada bener emang? Ingat kita hanya beda jalan dalam memilih dosa.",2 tahun yang lalu,esar putra p,UCHbs5DQTe-u1RIDt8Xykrlw,6,https://yt3.ggpht.com/ytc/AGIKgqMwmNAfvgB_SY9bBQutmdFS3oTDaI5yUH-AKg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.943549,Non-Bull,82.77%,17.23%
UgzZC4f2_KEJRZV5LC14AaABAg,Sedihhh sumpahhh..,2 tahun yang lalu,rani,UCiwUnhOrXsPiY3LI_WGNQMg,2,https://yt3.ggpht.com/ytc/AGIKgqOWHYOnEd5LvlGZoKDFIt_kxdCWHrxIzvw2wLHbew=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.943549,Non-Bull,39.55%,60.45%
UgxAJumFrMAizQV1XaZ4AaABAg,Dia bisa katakan orang cabe cabeAn. Diri aja ga bisa trovesi diri. Ga malu anak nya di panstren. Anak nya menutup aurat ibu nya buka bukaan,2 tahun yang lalu,muhanad Alqarany,UCsLPqjEL5Z7S5UNHbmkFQbQ,6,https://yt3.ggpht.com/ytc/AGIKgqOPuj_Ah3EpzKGSLkVSBnKpKRAnpQCkA2mZTljSSQ=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.952611,Non-Bull,39.55%,60.45%
Ugx3yUMPJTqbqnItd614AaABAg,"URUSAN RANJANG DIUMBAR2 ,GA BEDA JAUH SM PSK...hanya agar disebut masyarakat GA MUNAFIK 🤮",2 tahun yang lalu,rindu selalu,UCTZQj54uHBZBqtXPf0yJOVQ,47,https://yt3.ggpht.com/ytc/AGIKgqPQnb1ws6F6lpTeQ43OmPTp7QuVbBjai8J3WxNd=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.952611,Non-Bull,39.55%,60.45%
UgzOY3eWZxoBLj1Od8t4AaABAg,BAGUSNYA BUAT VIDEO KAYA LUNA ARIEL BIAR RAME,2 tahun yang lalu,Joni Bravo,UC4agX6eFTqIyhLqEi1WLYQA,2,https://yt3.ggpht.com/ytc/AGIKgqOzYATeyJSpQai4Nk8Gw1sojEgHGbuTXWHKuXsi=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.959993,Non-Bull,39.55%,60.45%
Ugycrg33RZMEAfvlTIl4AaABAg,"Gua ckup ntn aja ,nyiyir jg nambahin dosa",2 tahun yang lalu,Devi Anggiani,UCFKWptH3oSJpuEjYXZqFMRQ,6,https://yt3.ggpht.com/ytc/AGIKgqPWzXF05_BbmqCg3MYfLy-kq_PSiVhM92yb3omDpA=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.959993,Bull,10.74%,89.26%
Ugzm2cQ_NK-vexIZjoR4AaABAg,Emang nya udh halal mbak niki,2 tahun yang lalu,Klara Maike,UCyGtkmYhxbRNcaOYz1V-kgQ,0,https://yt3.ggpht.com/ytc/AGIKgqNHgh4QljjTk7jRU0yBFveQr4LfHTfxm8OSZA=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.968567,Non-Bull,39.55%,60.45%
Ugw5KKeauKKvzJMQead4AaABAg,Org yg mengumbar nafsu. Urusannya hanya perut d bawah perutnya ( diawali dr mulut),2 tahun yang lalu,Ratna yaty,UCjmNu719vzhdu9RttOqJTrg,9,https://yt3.ggpht.com/ytc/AGIKgqOPVRW_l2HkrvBwZjMthrvXKrsbzF1xct_I5GuT=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.968567,Non-Bull,39.55%,60.45%
Ugx6eTO8Ahe11_l-XRR4AaABAg,sensasi doang,2 tahun yang lalu,Mommy Oky,UCOxdCKAEh2S5ht7vXzVGPNQ,0,https://yt3.ggpht.com/fDPGXzoh6TsHjtlo8jXCUEaF56LS3Ht2BBhWb1CBVroI4jBOyjQTwkZUj-EINBZaa4H6mb7R_g=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.976863,Non-Bull,39.55%,60.45%
UgwXIAYuUb3NwzGrl5Z4AaABAg,"Cabe2an ajah malu nglakuin ky gini...hadewhh,,murahan skali",2 tahun yang lalu,Duta Ayu,UCqBlGAdkFfsWBzIJwZpFtJA,5,https://yt3.ggpht.com/ytc/AGIKgqPJbHN2z0aJVvNvx2yKdPGN0VVhHHnlcJcMFj5YLg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.976863,Bull,10.74%,89.26%
Ugz2ybRlcyeOSGM3Ykl4AaABAg,Ajib bang gofar,2 tahun yang lalu,SADABAWA CHANNEL,UC1Bln5SvUt4zO-lwDV5CfWA,0,https://yt3.ggpht.com/ytc/AGIKgqOITCDGYqHQRWeaCxDCiP1j63VQDUQ9RtRgXSGi=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.984393,Non-Bull,39.55%,60.45%
UgzUcgLfrvcDPlUW6rJ4AaABAg,Dah ewongan tuch dah serasa tahu luar dln jeroannya.dower ketagihan sama tumbukan gofar,2 tahun yang lalu,wiwik aditama,UCbnxcwDicFG8Qb3hxCs_MEw,1,https://yt3.ggpht.com/ytc/AGIKgqOKrhLYSqrUC0EYbd2Op94C1jwwLMoR4K-LI7SbPQ=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.984393,Non-Bull,39.55%,60.45%
UgyPGSqhEuhYQ0loso14AaABAg,"Ni Kalo SELEK Sedikit HABIS tuh Gofar Di buka Aib""nya 😁😁😁",2 tahun yang lalu,Wendy AMAT,UCf1XtvoSxoL_05byyjpX4pQ,129,https://yt3.ggpht.com/ytc/AGIKgqN58gZdOrnNFSuM140nV5IL8zWp3bz-Ua3StWbV=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.995067,Bull,12.82%,87.18%
UgwraEwRoTM838_uXz14AaABAg,Hati hati nyai jangan sampe dimaenin LG nyai..,2 tahun yang lalu,Mayus Nitha,UCHzSgd4btnh5G1kB5-A05dA,13,https://yt3.ggpht.com/ytc/AGIKgqMrIapBCGcIWOt22iotF_uDPOHB_3dAokE8Jg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.997145,Non-Bull,36.71%,63.29%
Ugxai57u_k6oAWNPjOp4AaABAg,Astaghfirullah aladzim ya Alloh,2 tahun yang lalu,Entin Misyati,UCQjHXy7WSxkq4wBxXL1ET3w,0,https://yt3.ggpht.com/yZ3HkWCyJIX2PWWn5cRG_xKk1MUnz-kbJXJujcWFYOMXhIyAPJzy7KbjoJ-5rvhBZiuJstNDRuE=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.997145,Non-Bull,39.55%,60.45%
UgzKK4tDU477UkpWXmp4AaABAg,"Dosanya mengalir terus, selama masih ada  yg nonton,",2 tahun yang lalu,Nanak Iskandar,UC-2qcfGXkDz5oTmq4dyZD6g,8,https://yt3.ggpht.com/ytc/AGIKgqP8uhmtjhvuizO4AGqxBV5VcIFg5J4ze1cojKQ9=s176-c-k-c0x00ffffff-no-rj,False,False,1619176840.997145,Non-Bull,39.55%,60.45%
Ugxw4tzgWEPfy8mUvs94AaABAg,Blum nikah udh bgtu dua duan dipeluk2 diliat org byk g malu yah...,2 tahun yang lalu,andisukma sari,UCQy5cl0KHWbS9MAVYNigAdw,5,https://yt3.ggpht.com/ytc/AGIKgqOppYQ9XZpese3np4wcM176wKXb2TrwiDmtlw=s176-c-k-c0x00ffffff-no-rj,False,False,1619176841.011394,Non-Bull,39.55%,60.45%
Ugxkhdgc27XsTbxvjz14AaABAg,Jijik lihat  nya kalau anak 2 nya lihat mimi nya murahan kayak gini apa tidak maluh anak nya lihat tinkah laku mimi nya mesti anak 2malu  baget ya segarus nya sebagai org tua tunjuk la tinkah laku yg bagus di depan anak nya  biyar anak nya tidak malu,2 tahun yang lalu,santi putri,UCJjWPAgUajF8TJvTUqbPzew,24,https://yt3.ggpht.com/ytc/AGIKgqMitRFdOse4DhdcKsR5L686vTAsd-2LJRnHgw=s176-c-k-c0x00ffffff-no-rj,False,False,1619176841.011394,Non-Bull,61.68%,38.32%
UgxFipvXwmgRqB1KGCR4AaABAg,Astaghfirullah halladzim,2 tahun yang lalu,Anita Ratna,UCSA7Q_VADMmR5G1IWinZ4Pw,1,https://yt3.ggpht.com/ytc/AGIKgqM4Nio9QfPJm7YjJo9XaF-wP5i8q9n2w4pcQQ=s176-c-k-c0x00ffffff-no-rj,False,False,1619176841.011394,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C0-leQCGC7,"Dy penyiar terkenal, youtubenya jga mayan. Dan pemilik lawless burger salah satu burger terenak di indonesia",2 tahun yang lalu,Tiara Kirana,UCQhC2keJzyiuzmAr3KgxsHQ,3,https://yt3.ggpht.com/ytc/AGIKgqPV2kmMdTZraZWMI5gfI94M7FUolguqrvzwamwFSA=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.477958,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C0JaaFUzAD, @Tiara Kirana  iyah krana mantan pcrnya .bpknya pejabat,2 tahun yang lalu,wiwik aditama,UCbnxcwDicFG8Qb3hxCs_MEw,2,https://yt3.ggpht.com/ytc/AGIKgqOKrhLYSqrUC0EYbd2Op94C1jwwLMoR4K-LI7SbPQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.477958,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C0nMQKhXM7,Hidup lu kmn aja 😂,2 tahun yang lalu,aji jati,UCho2uxWy3ZIVhX9fYbMpNUQ,0,https://yt3.ggpht.com/ytc/AGIKgqMg59GqgZG3oXLBI_zGQ4USfSdaia50RHXwL2IEQA=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.493629,Bull,3.3%,96.7%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C0s59hZ9Nv, @aji jati  bertapa 😁,2 tahun yang lalu,bintang Bersinar,UCT_RGDW5XgKRROYo8VoajpA,0,https://yt3.ggpht.com/ytc/AGIKgqMciMzhY1iX8rIRLXmyg0V-aTTJqEdKUumwky8o9g=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.493629,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C10mEXwCPd, @wiwik aditama  iya  itu juga. hahhaha,2 tahun yang lalu,Tiara Kirana,UCQhC2keJzyiuzmAr3KgxsHQ,0,https://yt3.ggpht.com/ytc/AGIKgqPV2kmMdTZraZWMI5gfI94M7FUolguqrvzwamwFSA=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.493629,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C2bo4rMx7a,"apakah anda putri daerah ? di ibu kota sih besar bgt nama nya gofar.
presenter, penyiar, pengusaha, dan juga aktivis .",2 tahun yang lalu,Soemarno's son,UCJepEsA__rP_ZIrdzZ2BLUQ,0,https://yt3.ggpht.com/ytc/AGIKgqMR4ibQ7tX0q6Z-YR-rZWzl5L0KwdpANaIIMkbb=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.507281,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C2c_TvpJBv, @Soemarno's son  yoo ii..5jam klo ke jakarta.,2 tahun yang lalu,bintang Bersinar,UCT_RGDW5XgKRROYo8VoajpA,0,https://yt3.ggpht.com/ytc/AGIKgqMciMzhY1iX8rIRLXmyg0V-aTTJqEdKUumwky8o9g=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.510565,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C5bkneS53o,"Dengerin hard rock fm dong  dr jam 6 pagi ampe jam sepuluh bareng surya , gokill",2 tahun yang lalu,Rina Deviani,UCI6ItCIa5pFH2CJEaFx12dQ,0,https://yt3.ggpht.com/ytc/AGIKgqMxlzikHGMjZfZqvArQ-FZ8lS1NZM2IB9FdOg=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.510565,Non-Bull,39.55%,60.45%
Ugwuxx7twn2Wo8M19CR4AaABAg.9C-IgmJ416f9C9Js0WkIVj,Gua jadi tau Nikita karena gofar,2 tahun yang lalu,Isa fernandes,UCpdfMc8u6uh5YgJUgzU473A,0,https://yt3.ggpht.com/ytc/AGIKgqNqWVURIZN-baCQZLrpK6AZ_n0ZVJVOM_tOMKYPwQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.510565,Non-Bull,39.55%,60.45%
UgyBWNHhXi-jGYhmOX54AaABAg.9CFDI_En75X9CN31YOiSea,nahhh ini baru sekut... sekarang jamanya orang munafik,2 tahun yang lalu,Ojhonk hore hore,UChBE8XdRMRhmyJMtCKml0Kw,1,https://yt3.ggpht.com/ytc/AGIKgqMe6cOxwTFan2ySatZ8yjVDuAJQOfDq-Wu2mPwmCQ=s176-c-k-c0x00ffffff-no-rj,False,True,1619176841.903296,Bull,3.27%,96.73%
UgxAJumFrMAizQV1XaZ4AaABAg.9CLE1Ty8nLM9Cgeva6Dpae,"Sadis kta2 lo,dosa mas🤣🤣🤣",2 tahun yang lalu,Onco liuryaman Onco,UCGVmbSq0qxNpyTbSrAt1XnA,0,https://yt3.ggpht.com/IABxfwL6TtsPXD7te_otjY_RRzRDYt9pZCi8UljzrQ1S2sfqHvvGe_wwZeMU0lTQfg5mNOIE=s176-c-k-c0x00ffffff-no-rj,False,True,1619176842.226875,Non-Bull,39.55%,60.45%
Ugx3yUMPJTqbqnItd614AaABAg.9C7LY68TN5g9C9TuaMMLlL,Saya juga berfikir gt. Mending klw.  Suami ny  🤮🤮🤮🤮,2 tahun yang lalu,Ririn Antoro,UC3SBjy0XqIDGjgIecJK34aw,2,https://yt3.ggpht.com/ytc/AGIKgqOMAjx9-23GZPLehYig3_QTX7BBV43cUt4Ngj7rAlw=s176-c-k-c0x00ffffff-no-rj,False,True,1619176842.709728,Non-Bull,39.55%,60.45%
